label,elapsed_s,eps,consumer_lag,pipeline_latency_ms_sample,rss_bytes
before-1x,0,0.0,0,78,119619584
before-1x,1,70.5,0,69,119619584
before-1x,2,61.6,0,99,119668736
before-1x,3,60.6,0,97,119668736
before-1x,4,32.8,0,152,119668736
before-1x,5,78.6,0,104,119685120
before-1x,6,87.5,0,104,119685120
before-1x,7,63.6,0,114,119816192
before-1x,8,55.6,0,157,119816192
before-1x,9,63.6,0,127,119816192
before-1x,10,47.8,0,137,119816192
before-1x,11,57.7,0,413,119816192
before-1x,12,39.8,0,133,119816192
before-1x,13,42.8,1,305,119816192
before-1x,14,28.9,0,167,119816192
before-1x,15,55.8,0,158,119963648
before-1x,16,47.8,0,192,119996416
before-1x,17,44.7,0,252,120029184
before-1x,18,63.6,0,169,120078336
before-1x,19,36.8,0,169,120078336
before-1x,20,52.7,0,188,120078336
before-1x,21,45.7,0,198,120078336
before-1x,22,42.7,0,281,120078336
before-1x,23,60.6,0,206,120078336
before-1x,25,48.8,0,219,120078336
before-1x,26,61.7,0,272,120078336
before-1x,27,48.7,0,228,120078336
before-1x,28,34.8,0,451,120078336
before-1x,29,36.9,0,229,120078336
before-1x,30,59.7,0,230,120078336
before-10x,0,0.0,0,910,120651776
before-10x,1,308.5,0,914,120799232
before-10x,2,276.9,0,918,121061376
before-10x,3,299.2,1,924,121405440
before-10x,4,251.2,1,936,121438208
before-10x,5,288.3,0,936,121438208
before-10x,6,20.9,0,1200,121438208
before-10x,7,31.8,0,969,121438208
before-10x,8,1.0,0,1525,121438208
before-10x,9,92.5,0,987,121438208
before-10x,10,22.9,0,1023,121438208
before-10x,11,35.8,0,1409,121438208
before-10x,12,31.9,0,1475,121454592
before-10x,13,14.9,0,986,121454592
before-10x,14,39.8,0,985,121454592
before-10x,15,16.9,0,1056,121454592
before-10x,16,22.9,0,1862,121454592
before-10x,17,31.8,0,1461,121454592
before-10x,18,45.8,0,112,121454592
before-10x,19,48.9,0,9,121454592
before-10x,20,32.9,0,239,121454592
before-10x,21,23.9,0,154,121454592
before-10x,22,32.9,0,219,121454592
before-10x,23,23.9,0,405,121454592
before-10x,24,21.9,0,589,121454592
before-10x,25,35.7,0,39,121487360
before-10x,26,29.9,0,307,121503744
before-10x,27,36.8,0,474,121536512
before-10x,28,41.8,0,93,121569280
before-10x,29,30.8,0,56,121585664
before-10x,30,35.8,0,113,121602048
before-50x,0,0.0,0,713,122208256
before-50x,1,648.5,0,718,122601472
before-50x,2,19.9,0,1000,122880000
before-50x,3,32.8,0,879,122880000
before-50x,4,16.9,0,1134,122880000
before-50x,5,55.7,0,745,122880000
before-50x,6,14.9,0,1212,122880000
before-50x,7,60.7,1,1152,122880000
before-50x,8,648.4,0,756,122912768
before-50x,9,685.3,0,760,122912768
before-50x,10,619.1,0,764,122912768
before-50x,11,573.3,0,765,123191296
before-50x,12,48.8,0,991,124436480
before-50x,13,65.7,0,877,124469248
before-50x,14,19.9,0,1241,124469248
before-50x,15,16.9,0,795,124469248
before-50x,16,28.9,0,798,124469248
before-50x,17,24.9,0,868,124469248
before-50x,18,297.5,0,908,124469248
before-50x,19,601.2,0,800,124190720
before-50x,20,620.5,1,805,124289024
before-50x,21,596.2,0,806,124321792
before-50x,22,673.3,1,813,124321792
before-50x,23,673.3,0,816,124338176
before-50x,24,681.6,1,819,124338176
before-50x,25,662.0,0,824,124534784
before-50x,26,668.3,0,828,124911616
before-50x,27,684.3,0,832,125091840
before-50x,28,648.8,0,834,125157376
before-50x,29,684.3,0,839,125157376
before-50x,30,722.1,0,844,125321216
before-100x,0,0.0,0,591,125730816
before-100x,1,651.7,0,593,125730816
before-100x,2,34.8,0,1315,125730816
before-100x,3,35.7,0,612,125730816
before-100x,4,250.0,0,616,115752960
before-100x,5,662.4,0,615,111935488
before-100x,6,688.9,0,617,111935488
before-100x,7,652.0,1,621,111951872
before-100x,8,296.2,0,627,111951872
before-100x,9,43.7,0,643,111951872
before-100x,10,21.9,0,1246,111951872
before-100x,11,184.4,1,674,111951872
before-100x,12,711.2,1,646,111951872
before-100x,13,685.6,0,650,111968256
before-100x,14,672.7,0,652,111968256
before-100x,15,708.2,0,656,111968256
before-100x,16,700.9,0,657,113098752
before-100x,17,705.2,0,662,113115136
before-100x,18,693.2,1,666,113115136
before-100x,19,688.2,0,670,113115136
before-100x,20,708.2,1,675,113229824
before-100x,21,704.9,0,677,113754112
before-100x,22,704.2,1,680,114475008
before-100x,23,716.8,0,685,114638848
before-100x,24,698.6,0,686,114786304
before-100x,25,722.1,0,691,114786304
before-100x,26,702.2,0,695,115015680
before-100x,27,668.0,1,697,115425280
before-100x,28,677.3,0,701,115441664
before-100x,29,699.5,1,705,115441664
before-100x,30,677.0,0,706,115261440
after-1x,0,0.0,0,1007,126435328
after-1x,1,95.4,0,21,125960192
after-1x,2,83.6,0,22,126435328
after-1x,3,84.5,0,92,125960192
after-1x,4,44.7,0,62,125960192
after-1x,5,65.7,0,32,126435328
after-1x,6,108.6,0,102,125960192
after-1x,7,63.6,0,47,125960192
after-1x,8,28.9,0,110,126435328
after-1x,9,72.6,0,56,125960192
after-1x,10,33.9,0,73,126435328
after-1x,11,49.8,0,58,125960192
after-1x,12,46.7,0,63,126435328
after-1x,13,25.8,0,94,125960192
after-1x,14,39.8,0,130,126435328
after-1x,15,41.7,0,155,125960192
after-1x,16,22.8,0,167,126435328
after-1x,17,33.8,0,105,125960192
after-1x,18,24.9,0,118,126468096
after-1x,19,9.9,0,331,126943232
after-1x,20,31.8,0,125,125992960
after-1x,21,16.9,0,141,126468096
after-1x,22,26.8,0,158,125960192
after-1x,23,24.8,0,191,126435328
after-1x,24,23.9,0,190,126910464
after-1x,25,28.9,0,157,125665280
after-1x,26,23.8,0,177,125845504
after-1x,27,27.9,0,162,125665280
after-1x,28,20.9,0,234,125845504
after-1x,30,50.7,0,177,125665280
after-10x,0,0.0,0,827,125714432
after-10x,1,364.4,0,835,125714432
after-10x,2,252.5,0,842,125714432
after-10x,3,242.8,0,857,125714432
after-10x,4,263.9,0,852,125730816
after-10x,5,359.2,0,857,125730816
after-10x,6,88.7,0,874,125550592
after-10x,7,33.8,0,955,125566976
after-10x,8,303.7,1,894,125566976
after-10x,9,350.2,1,896,125566976
after-10x,10,360.9,1,897,125566976
after-10x,11,312.4,0,903,125583360
after-10x,12,366.8,0,908,125583360
after-10x,13,238.8,0,914,125583360
after-10x,14,247.3,0,917,125583360
after-10x,15,289.1,0,919,125599744
after-10x,16,246.8,0,923,125599744
after-10x,17,41.8,0,934,125599744
after-10x,18,79.6,0,1068,125616128
after-10x,19,324.7,1,941,125616128
after-10x,20,253.5,0,954,125616128
after-10x,21,273.9,0,962,125616128
after-10x,22,205.0,0,957,125632512
after-10x,23,316.8,2,981,125386752
after-10x,24,262.9,0,969,125403136
after-10x,25,271.9,1,971,125403136
after-10x,26,274.4,0,978,125534208
