dimension,multiplier,sample_events,cardinality,budget,structure,bytes,top20_overlap,mean_abs_rank_error,mean_relative_count_error
editors,25,262500,9123,xsmall,count_min_sketch,4096,19,0.400,0.0513
editors,25,262500,9123,xsmall,space_saving,1256,16,6.250,0.3056
editors,25,262500,9123,small,count_min_sketch,8192,19,0.150,0.0201
editors,25,262500,9123,small,space_saving,2622,20,0.800,0.0444
editors,25,262500,9123,medium,count_min_sketch,16384,19,0.150,0.0075
editors,25,262500,9123,medium,space_saving,5440,20,0.400,0.0157
editors,25,262500,9123,large,count_min_sketch,65536,20,0.000,0.0008
editors,25,262500,9123,large,space_saving,22600,20,0.300,0.0019
editors,50,525000,15404,xsmall,count_min_sketch,4096,18,0.400,0.0603
editors,50,525000,15404,xsmall,space_saving,1298,16,5.750,0.2847
editors,50,525000,15404,small,count_min_sketch,8192,19,0.300,0.0252
editors,50,525000,15404,small,space_saving,2828,19,0.550,0.0234
editors,50,525000,15404,medium,count_min_sketch,16384,20,0.000,0.0105
editors,50,525000,15404,medium,space_saving,5638,19,0.250,0.0061
editors,50,525000,15404,large,count_min_sketch,65536,20,0.000,0.0009
editors,50,525000,15404,large,space_saving,22444,20,0.000,0.0006
editors,75,787500,20921,xsmall,count_min_sketch,4096,19,0.450,0.0631
editors,75,787500,20921,xsmall,space_saving,1456,13,11.100,0.3714
editors,75,787500,20921,small,count_min_sketch,8192,19,0.450,0.0240
editors,75,787500,20921,small,space_saving,2810,18,1.050,0.0281
editors,75,787500,20921,medium,count_min_sketch,16384,20,0.100,0.0088
editors,75,787500,20921,medium,space_saving,5784,19,0.200,0.0117
editors,75,787500,20921,large,count_min_sketch,65536,20,0.000,0.0010
editors,75,787500,20921,large,space_saving,22902,19,0.050,0.0019
editors,100,1050000,25470,xsmall,count_min_sketch,4096,18,0.650,0.0617
editors,100,1050000,25470,xsmall,space_saving,1372,16,5.900,0.3015
editors,100,1050000,25470,small,count_min_sketch,8192,19,0.300,0.0257
editors,100,1050000,25470,small,space_saving,2820,19,0.900,0.0517
editors,100,1050000,25470,medium,count_min_sketch,16384,20,0.000,0.0091
editors,100,1050000,25470,medium,space_saving,5648,20,0.400,0.0194
editors,100,1050000,25470,large,count_min_sketch,65536,20,0.000,0.0011
editors,100,1050000,25470,large,space_saving,22546,20,0.100,0.0028
